run_id,iteration,warmup,adapter,elapsed_s,device_count,resource_count,resources_read,read_error_count,metrics_count,mapped_metric_count,unmapped_metric_count,alarms_count,active_alarms_count,snapshot_build_ms,list_resources_ms,read_resources_ms,read_health_ms,total_ms,health_status,health_mode,tools_exported,write_operations_allowed
spo2-drop-v07-run1-20260521T174701_564969Z,-20,True,simulated,0.0,1,8,8,0,3,3,0,2,0,2.5760999997146428,0.021000014385208488,2.0831000001635402,0.21929998183622956,4.899499996099621,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-19,True,simulated,1.0,1,8,8,0,3,3,0,2,0,2.3117999953683466,0.018799997633323073,4.429000022355467,0.24599998141638935,7.005599996773526,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-18,True,simulated,2.0,1,8,8,0,3,3,0,2,0,2.1832000056747347,0.017400016076862812,1.6861000040080398,0.19949997658841312,4.0862000023480505,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-17,True,simulated,3.0,1,8,8,0,3,3,0,2,0,3.5367999807931483,0.020100007532164454,1.9109999993816018,0.2609000075608492,5.728799995267764,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-16,True,simulated,4.0,1,8,8,0,3,3,0,2,0,3.5616000241134316,0.02719997428357601,2.2090999991633,0.2410000015515834,6.038899999111891,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-15,True,simulated,5.0,1,8,8,0,3,3,0,2,0,2.244200004497543,0.0158999755512923,3.273800015449524,0.2182000025641173,5.7520999980624765,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-14,True,simulated,6.0,1,8,8,0,3,3,0,2,0,2.0420000073499978,0.01580000389367342,1.9375999982003123,0.38899999344721437,4.384400002891198,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-13,True,simulated,7.0,1,8,8,0,3,3,0,2,0,2.976099989609793,0.022599997464567423,2.0198000129312277,0.2857999934349209,5.304299993440509,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-12,True,simulated,8.0,1,8,8,0,3,3,0,2,0,2.438099996652454,0.017000013031065464,2.1736999915447086,0.2330999996047467,4.861900000832975,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-11,True,simulated,9.0,1,8,8,0,3,3,0,2,0,2.067099994746968,0.01610000617802143,1.6691999917384237,0.20480001694522798,3.9572000096086413,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-10,True,simulated,10.0,1,8,8,0,3,3,0,2,0,2.6826000248547643,0.024999986635521054,3.6480000126175582,0.29039999935775995,6.646000023465604,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-9,True,simulated,11.0,1,8,8,0,3,3,0,2,0,4.778000002261251,0.02090001362375915,7.06569998874329,0.16580001101829112,12.030400015646592,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-8,True,simulated,12.0,1,8,8,0,3,3,0,2,0,3.077600005781278,0.022599997464567423,1.95569999050349,0.20280000171624124,5.258699995465577,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-7,True,simulated,13.0,1,8,8,0,3,3,0,2,0,2.1803000126965344,0.017200014553964138,2.0038999791722745,0.2401999954599887,4.441600001882762,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-6,True,simulated,14.0,1,8,8,0,3,3,0,2,0,2.1630999981425703,0.026699999580159783,2.4283000093419105,0.4330999800004065,5.051199987065047,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-5,True,simulated,15.0,1,8,8,0,3,3,0,2,0,2.368499990552664,0.02030000905506313,3.370499995071441,0.23880001390352845,5.998100008582696,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-4,True,simulated,16.0,1,8,8,0,3,3,0,2,0,2.307099988684058,0.01680001150816679,1.947699987795204,0.21070000366307795,4.482299991650507,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-3,True,simulated,17.0,1,8,8,0,3,3,0,2,0,2.115999988745898,0.015700003132224083,2.1118999866303056,0.21150000975467265,4.4550999882631,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-2,True,simulated,18.0,1,8,8,0,3,3,0,2,0,2.224500000011176,0.015900004655122757,2.895599987823516,0.38839998887851834,5.524399981368333,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,-1,True,simulated,19.0,1,8,8,0,3,3,0,2,0,2.6585999876260757,0.02020000829361379,2.29199999012053,0.5969000048935413,5.567699990933761,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,0,False,simulated,20.0,1,8,8,0,3,3,0,2,0,2.3191999935079366,0.016200006939470768,2.3329000105150044,0.2810999867506325,4.949399997713044,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,1,False,simulated,21.0,1,8,8,0,3,3,0,2,0,2.0114000071771443,0.01610000617802143,2.1966999920550734,0.6099999882280827,4.834199993638322,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,2,False,simulated,22.0,1,8,8,0,3,3,0,2,0,2.733000001171604,0.020899984519928694,2.1935999975539744,0.45819999650120735,5.405699979746714,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,3,False,simulated,23.0,1,8,8,0,3,3,0,2,0,2.4053000088315457,0.01960000372491777,2.0872000022791326,0.26359999901615083,4.775700013851747,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,4,False,simulated,24.0,1,8,8,0,3,3,0,2,0,2.347000001464039,0.024800014216452837,2.3401000071316957,0.2269999822601676,4.938900005072355,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,5,False,simulated,25.0,1,8,8,0,3,3,0,2,0,3.104900009930134,0.01889999839477241,1.9757999980356544,0.2474999928381294,5.34709999919869,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,6,False,simulated,26.0,1,8,8,0,3,3,0,2,0,2.123699989169836,0.016400008462369442,1.9043000065721571,0.31869998201727867,4.363099986221641,ok,read-only,False,False
